id,title,category,condition,price,base_price,discount_percentage,currency,stock,max_purchase_quantity,free_shipping,logistic_type,pickup_available,city,state,country,os,resolution,storage,ram,cpu,voice_assistant,remote_type,ports,bluetooth,wifi,wifi_standards,warranty_time,warranty_type
MLA1458318213,Apple Tv 4k (wifi + Ethernet)  3ra Gen 2022 4k 128gb Negro,MLA352001,new,420000.0,420000.0,0,ARS,1,,True,drop_off,False,Bahía Blanca,Buenos Aires,Argentina,,4K,128 GB,,Apple 15 Bionic,,,"Gigabit Ethernet,IR,USB-C",Sí,Sí,IEEE 802.11ax,12 meses,Garantía de fábrica
MLA1426291701,Apple Tv 4k 64gb Modelo A2169. Soporte Y Funda De Regalo,MLA352001,new,567000.0,567000.0,0,ARS,1,,True,xd_drop_off,False,CABA,Capital Federal,Argentina,,4K,3 GB,64 GB,Apple 15 Bionic,Siri,,"Gigabit Ethernet,IR,USB-C",Sí,Sí,IEEE 802.11ax,12 meses,Garantía de fábrica
MLA2011479876,Apple Tv 4k Wi-fi (tercera Generación) 64gb Apple Tv Negro De Voz,MLA352001,new,330000.0,330000.0,0,ARS,1,,True,xd_drop_off,False,Recoleta,Capital Federal,Argentina,iOS,4K,64 GB,128 GB,Apple A10X Fusion,Siri,De voz,Ethernet,Sí,Sí,IEEE 802.11ac,12 meses,Garantía de fábrica
MLA1904940598,Apple Tv 4k 64 Gb Negro Con Memoria Ram De 3 Gb A1842,MLA352001,used,220000.0,220000.0,0,ARS,1,,False,xd_drop_off,False,Recoleta,Capital Federal,Argentina,,4K,64 GB,3 GB,Apple A12,,,"Apple power supply,Ethernet,IR",Sí,Sí,IEEE 802.11ac,No especificado,Sin garantía
MLA1447987851,Apple Tv A1427 Estándar 3.a Generación Fhd,MLA352001,used,70000.0,70000.0,0,ARS,1,,True,xd_drop_off,False,Monte Castro,Capital Federal,Argentina,,Full HD,8 GB,512 MB,Apple A5,,,"Ethernet,Micro-USB",Sí,Sí,,No especificado,Sin garantía
MLA1448806077,"Apple Tv A1469 3.a Gen. Full Hd 8gb, 1gb Ram,estado Impoluto",MLA352001,used,44900.0,44900.0,0,ARS,1,,False,drop_off,False,Belen De Escobar,Buenos Aires,Argentina,tvOS,Full HD,8 GB,1 GB,,,,HDMI,No,Sí,,No especificado,Sin garantía
MLA2012548500, Apple Tv  3.ª Generación (year 2012),MLA352001,used,45000.0,45000.0,0,ARS,1,,False,drop_off,False,Palermo,Capital Federal,Argentina,Apple TV 5.2,Full HD,8 GB,512 MB,Apple A5 Single-Core,,,"Ethernet,Micro-USB",,Sí,,No especificado,Sin garantía
MLA1984892006,Apple Tv (3era Generación) Modelo A1427,MLA352001,used,60000.0,60000.0,0,ARS,1,,False,xd_drop_off,False,Olivos,Buenos Aires,Argentina,,Full HD,,,,,,,No,Sí,,No especificado,Sin garantía
MLA2007226274,Apple Tv A1378 Estándar 2.a Generación,MLA352001,used,24989.0,24989.0,0,ARS,1,,False,drop_off,False,San Miguel de Tucumán,Tucumán,Argentina,Apple TV,HD,8 GB,256 MB,Apple A4,,,"Apple power supply,Ethernet,IR,Micro-USB",Sí,Sí,IEEE 802.11a/b/g/n,No especificado,Sin garantía
MLA1475974383,Apple Tv 4k 32 Gb,MLA352001,used,35000.0,35000.0,0,ARS,1,,False,xd_drop_off,False,capital federal,Capital Federal,Argentina,,4K,32 GB,,Apple A12,,,,Sí,Sí,IEEE 802.11ax,No especificado,Sin garantía
MLA1968764116,Apple Tv 2.a Generación Hd 8gb Negro,MLA352001,used,30000.0,30000.0,0,ARS,1,,False,xd_drop_off,False,Beccar,Buenos Aires,Argentina,Apple TV,HD,8 GB,256 MB,Apple A4,,,"Apple power supply,Ethernet,IR,Micro-USB",Sí,Sí,IEEE 802.11a/b/g/n,No especificado,Sin garantía
MLA1478481559,Apple Tv A1625 4k 4ta 4th Generación 2015,MLA352001,used,145000.0,145000.0,0,ARS,1,,False,xd_drop_off,False,Belgrano,Capital Federal,Argentina,tvOS,4K,32 GB,32 GB,,Siri,,"Bluetooth,HDMI",Sí,Sí,,No especificado,Sin garantía
MLA1469995027,Apple Tv A1218 2007 1.a Generacion,MLA352001,used,24000.0,24000.0,0,ARS,1,,True,drop_off,False,rincon de milberg,Buenos Aires,Argentina,,,160 GB,256 MB,,,,,,Sí,,No especificado,Sin garantía
MLA1462043665,Apple Tv 2a Generación Full Hd,MLA352001,used,40000.0,40000.0,0,ARS,1,,False,xd_drop_off,False,Capital Federal - Belgrano,Capital Federal,Argentina,Apple TV,HD,8 GB,256 MB,Apple A4,,,"Ethernet,Micro-USB,IR,Apple power supply",Sí,Sí,IEEE 802.11a/b/g/n,No especificado,Sin garantía
MLA1460121355,Apple Tv 4k (wifi) A2737 De Voz 3.a Generación 64gb,MLA352001,used,310000.0,310000.0,0,ARS,1,,False,xd_drop_off,False,Balvanera,Capital Federal,Argentina,,4K,64 GB,,Apple 15 Bionic,,,"IR,USB-C",Sí,Sí,IEEE 802.11ax,2 años,Garantía de fábrica
MLA1399520644,Apple Tv 4k 32gb A1842 Negro (usado),MLA352001,used,400000.0,400000.0,0,ARS,1,,False,xd_drop_off,False,Núñez,Capital Federal,Argentina,,4K,32 GB,,,,,,,,,No especificado,Sin garantía
MLA1460688751,Apple Tv Hd 4.a Generación 2015 A1625 / 32 Gb,MLA352001,used,180000.0,180000.0,0,ARS,1,,True,xd_drop_off,False,Rosario,Santa Fe,Argentina,tvOS,Full HD,,,Apple A8,Siri,,"Apple power supply,Ethernet,HDMI",Sí,Sí,IEEE 802.11ac,No especificado,Sin garantía
MLA1972159008,Apple Tv A1427 ( Control No Funciona),MLA352001,used,20000.0,20000.0,0,ARS,1,,False,xd_drop_off,False,Temperley,Buenos Aires,Argentina,,Full HD,8 GB,512 MB,Apple A5,,,"Ethernet,Micro-USB",Sí,Sí,,No especificado,Sin garantía
MLA1474178905,Apple Tv 4k,MLA352001,used,50000.0,50000.0,0,ARS,2,,False,drop_off,False,Villa Rosa,Buenos Aires,Argentina,iOS,HD,,3 GB,,No contiene,,USB,Sí,Sí,,No especificado,Sin garantía
MLA1877356464,Apple Tv 2 3.ª Gen. Full Hd 1gb Ram 8gb.,MLA352001,used,45000.0,45000.0,0,ARS,1,,False,xd_drop_off,False,Barrio norte,Capital Federal,Argentina,,Full HD,8 GB,1 GB,,,,,,,,No especificado,Sin garantía
MLA1938425710,Apple Tv 3,MLA352001,used,38000.0,38000.0,0,ARS,1,,False,drop_off,False,Palermo,Capital Federal,Argentina,,Full HD,,,,,,HDMI,No,Sí,,No especificado,Sin garantía
MLA1911254292,Apple Tv 4k (wifi + Ethernet) A2843 4k 128gb Negro,MLA352001,used,400000.0,400000.0,0,ARS,1,,True,drop_off,False,Bariloche,Río Negro,Argentina,,4K,128 GB,128 GB,Apple 15 Bionic,,,"Gigabit Ethernet,IR,USB-C",Sí,Sí,IEEE 802.11ax,No especificado,Sin garantía
MLA1781884668, Apple Tv A1427 2.ª Generación ,MLA352001,used,37081.98,37081.98,0,ARS,1,,False,xd_drop_off,False,Villa Martelli,Buenos Aires,Argentina,Apple TV,HD,8 GB,256 MB,Apple A4,,,"Apple power supply,Ethernet,IR,Micro-USB",Sí,Sí,IEEE 802.11a/b/g/n,No especificado,Sin garantía
MLA2013720360,"Apple Tv Modelo A1427 Con Control ,hdmi Y Cable Alimentación Negro Estándar",MLA352001,used,39999.0,39999.0,0,ARS,1,,False,xd_drop_off,False,Chacarita,Capital Federal,Argentina,,Full HD,8 GB,512 MB,Apple A5,,Estándar,"Ethernet,Micro-USB",Sí,Sí,,No especificado,Sin garantía
